Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
P53026	reviewed	RL10A_MOUSE	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	Rpl10a Nedd-6 Nedd6	Mus musculus (Mouse)	217	cytoplasmic translation [GO:0002181]; translation [GO:0006412]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; polysomal ribosome [GO:0042788]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; ribosome [GO:0005840]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; mitochondrion [GO:0005739]; polysomal ribosome [GO:0042788]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; presynapse [GO:0098793]; ribosome [GO:0005840]; synapse [GO:0045202]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]; translation at postsynapse [GO:0140242]; translation at presynapse [GO:0140236]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003723; GO:0003735; GO:0005737; GO:0005739; GO:0005829; GO:0005840; GO:0006412; GO:0014069; GO:0022625; GO:0022626; GO:0042788; GO:0045202; GO:0098793; GO:0098794; GO:0140236; GO:0140242
Q3B756	reviewed	FUZZY_RAT	Protein fuzzy homolog	Fuz	Rattus norvegicus (Rat)	415	anterior/posterior pattern specification [GO:0009952]; aorta development [GO:0035904]; cardiac septum development [GO:0003279]; cilium assembly [GO:0060271]; coronary vasculature development [GO:0060976]; embryonic body morphogenesis [GO:0010172]; embryonic digit morphogenesis [GO:0042733]; embryonic neurocranium morphogenesis [GO:0048702]; embryonic skeletal system morphogenesis [GO:0048704]; establishment of planar polarity [GO:0001736]; hair follicle development [GO:0001942]; larynx morphogenesis [GO:0120223]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation [GO:2000314]; negative regulation of neural crest formation [GO:0090301]; neural tube closure [GO:0001843]; non-motile cilium assembly [GO:1905515]; positive regulation of cilium assembly [GO:0045724]; positive regulation of protein processing [GO:0010954]; protein transport [GO:0015031]; regulation of smoothened signaling pathway [GO:0008589]; roof of mouth development [GO:0060021]; spinal cord development [GO:0021510]; spinal cord dorsal/ventral patterning [GO:0021513]; tongue morphogenesis [GO:0043587]; vesicle-mediated transport [GO:0016192]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; anterior/posterior pattern specification [GO:0009952]; aorta development [GO:0035904]; cardiac septum development [GO:0003279]; cilium assembly [GO:0060271]; coronary vasculature development [GO:0060976]; embryonic body morphogenesis [GO:0010172]; embryonic digit morphogenesis [GO:0042733]; embryonic neurocranium morphogenesis [GO:0048702]; embryonic skeletal system morphogenesis [GO:0048704]; establishment of planar polarity [GO:0001736]; hair follicle development [GO:0001942]; larynx morphogenesis [GO:0120223]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation [GO:2000314]; negative regulation of neural crest formation [GO:0090301]; neural tube closure [GO:0001843]; non-motile cilium assembly [GO:1905515]; positive regulation of cilium assembly [GO:0045724]; positive regulation of protein processing [GO:0010954]; protein transport [GO:0015031]; regulation of smoothened signaling pathway [GO:0008589]; roof of mouth development [GO:0060021]; spinal cord development [GO:0021510]; spinal cord dorsal/ventral patterning [GO:0021513]; tongue morphogenesis [GO:0043587]; vesicle-mediated transport [GO:0016192]		GO:0001736; GO:0001843; GO:0001942; GO:0003279; GO:0005737; GO:0005856; GO:0008285; GO:0008589; GO:0009952; GO:0010172; GO:0010954; GO:0015031; GO:0016192; GO:0021510; GO:0021513; GO:0030336; GO:0035904; GO:0042733; GO:0042995; GO:0043587; GO:0045724; GO:0048702; GO:0048704; GO:0060021; GO:0060271; GO:0060976; GO:0090090; GO:0090301; GO:0120223; GO:1905515; GO:2000314
Q9CWW7	reviewed	CXXC1_MOUSE	CXXC-type zinc finger protein 1 (CpG-binding protein) (PHD finger and CXXC domain-containing protein 1)	Cxxc1 Cgbp Pccx1	Mus musculus (Mouse)	660	histone H3-K4 methylation [GO:0051568]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	cytosol [GO:0005829]; histone methyltransferase complex [GO:0035097]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]	cytosol [GO:0005829]; histone methyltransferase complex [GO:0035097]; nuclear matrix [GO:0016363]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; methylated histone binding [GO:0035064]; unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]; histone H3-K4 methylation [GO:0051568]; positive regulation of DNA-templated transcription [GO:0045893]; regulation of DNA-templated transcription [GO:0006355]	cis-regulatory region sequence-specific DNA binding [GO:0000987]; methylated histone binding [GO:0035064]; unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]	GO:0000987; GO:0005634; GO:0005654; GO:0005829; GO:0006355; GO:0008270; GO:0016363; GO:0016607; GO:0035064; GO:0035097; GO:0045322; GO:0045893; GO:0048188; GO:0051568
Q9VTH0	reviewed	PLOD_DROME	Procollagen-lysine,2-oxoglutarate 5-dioxygenase (Procollagen lysyl hydroxylase) (EC 1.14.11.4)	Plod CG6199	Drosophila melanogaster (Fruit fly)	721	growth of a germarium-derived egg chamber [GO:0007295]; peptidyl-lysine hydroxylation [GO:0017185]	endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]	endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen galactosyltransferase activity [GO:0050211]; procollagen glucosyltransferase activity [GO:0033823]; procollagen-lysine 5-dioxygenase activity [GO:0008475]; growth of a germarium-derived egg chamber [GO:0007295]; peptidyl-lysine hydroxylation [GO:0017185]	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen galactosyltransferase activity [GO:0050211]; procollagen glucosyltransferase activity [GO:0033823]; procollagen-lysine 5-dioxygenase activity [GO:0008475]	GO:0005506; GO:0005615; GO:0005783; GO:0007295; GO:0008475; GO:0017185; GO:0031418; GO:0033823; GO:0048471; GO:0050211
Q9WTM5	reviewed	RUVB2_MOUSE	RuvB-like 2 (EC 3.6.4.12) (p47 protein)	Ruvbl2	Mus musculus (Mouse)	463	box C/D snoRNP assembly [GO:0000492]; cellular response to estradiol stimulus [GO:0071392]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; establishment of protein localization to chromatin [GO:0071169]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; telomere maintenance [GO:0000723]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dynein axonemal particle [GO:0120293]; euchromatin [GO:0000791]; Ino80 complex [GO:0031011]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; protein folding chaperone complex [GO:0101031]; R2TP complex [GO:0097255]; ribonucleoprotein complex [GO:1990904]; RPAP3/R2TP/prefoldin-like complex [GO:1990062]; Swr1 complex [GO:0000812]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dynein axonemal particle [GO:0120293]; euchromatin [GO:0000791]; Ino80 complex [GO:0031011]; membrane [GO:0016020]; MLL1 complex [GO:0071339]; NuA4 histone acetyltransferase complex [GO:0035267]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleosome [GO:0000786]; nucleus [GO:0005634]; protein folding chaperone complex [GO:0101031]; R2TP complex [GO:0097255]; ribonucleoprotein complex [GO:1990904]; RPAP3/R2TP/prefoldin-like complex [GO:1990062]; Swr1 complex [GO:0000812]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase binding [GO:0051117]; beta-catenin binding [GO:0008013]; chromatin DNA binding [GO:0031490]; DNA helicase activity [GO:0003678]; identical protein binding [GO:0042802]; promoter-enhancer loop anchoring activity [GO:0140585]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; TBP-class protein binding [GO:0017025]; TFIID-class transcription factor complex binding [GO:0001094]; transcription corepressor activity [GO:0003714]; box C/D snoRNP assembly [GO:0000492]; cellular response to estradiol stimulus [GO:0071392]; cellular response to UV [GO:0034644]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; establishment of protein localization to chromatin [GO:0071169]; histone acetylation [GO:0016573]; histone H2A acetylation [GO:0043968]; histone H4 acetylation [GO:0043967]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of DNA repair [GO:0045739]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of double-strand break repair via homologous recombination [GO:1905168]; positive regulation of telomere maintenance in response to DNA damage [GO:1904507]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of apoptotic process [GO:0042981]; regulation of cell cycle [GO:0051726]; regulation of chromosome organization [GO:0033044]; regulation of DNA repair [GO:0006282]; regulation of DNA replication [GO:0006275]; regulation of DNA strand elongation [GO:0060382]; regulation of DNA-templated transcription [GO:0006355]; regulation of double-strand break repair [GO:2000779]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; telomere maintenance [GO:0000723]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase binding [GO:0051117]; beta-catenin binding [GO:0008013]; chromatin DNA binding [GO:0031490]; DNA helicase activity [GO:0003678]; identical protein binding [GO:0042802]; promoter-enhancer loop anchoring activity [GO:0140585]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; TBP-class protein binding [GO:0017025]; TFIID-class transcription factor complex binding [GO:0001094]; transcription corepressor activity [GO:0003714]	GO:0000492; GO:0000723; GO:0000786; GO:0000791; GO:0000812; GO:0000978; GO:0000979; GO:0001094; GO:0003678; GO:0003714; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005829; GO:0006275; GO:0006281; GO:0006282; GO:0006310; GO:0006338; GO:0006355; GO:0006357; GO:0008013; GO:0016020; GO:0016363; GO:0016573; GO:0016887; GO:0017025; GO:0031011; GO:0031490; GO:0033044; GO:0034644; GO:0035267; GO:0042802; GO:0042803; GO:0042981; GO:0043531; GO:0043967; GO:0043968; GO:0045739; GO:0045893; GO:0045944; GO:0045995; GO:0051117; GO:0051726; GO:0060382; GO:0071169; GO:0071339; GO:0071392; GO:0090090; GO:0097255; GO:0101031; GO:0120293; GO:0140585; GO:1904507; GO:1905168; GO:1990062; GO:1990904; GO:2000779
Q9QZ05	reviewed	E2AK4_MOUSE	eIF-2-alpha kinase GCN2 (Eukaryotic translation initiation factor 2-alpha kinase 4) (EC 2.7.11.1) (GCN2-like protein) (mGCN2)	Eif2ak4 Gcn2 Kiaa1338	Mus musculus (Mouse)	1648	adaptive immune response [GO:0002250]; cell cycle [GO:0007049]; cellular response to amino acid starvation [GO:0034198]; cellular response to cold [GO:0070417]; cellular response to leucine starvation [GO:1990253]; cellular response to starvation [GO:0009267]; cellular response to UV [GO:0034644]; defense response to virus [GO:0051607]; DNA damage checkpoint signaling [GO:0000077]; eiF2alpha phosphorylation in response to endoplasmic reticulum stress [GO:0036492]; endoplasmic reticulum unfolded protein response [GO:0030968]; GCN2-mediated signaling [GO:0140469]; learning [GO:0007612]; long-term memory [GO:0007616]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; negative regulation of translational initiation in response to stress [GO:0032057]; neuron projection extension [GO:1990138]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of gene expression [GO:0010628]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of translational initiation in response to starvation [GO:0071264]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of feeding behavior [GO:0060259]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by eIF2 alpha phosphorylation [GO:0010998]; regulation of translational initiation in response to stress [GO:0043558]; response to endoplasmic reticulum stress [GO:0034976]; T cell activation involved in immune response [GO:0002286]; viral translation [GO:0019081]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; polysome [GO:0005844]	cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; polysome [GO:0005844]; ATP binding [GO:0005524]; eukaryotic initiation factor eIF2 binding [GO:0071074]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tRNA binding [GO:0000049]; adaptive immune response [GO:0002250]; cell cycle [GO:0007049]; cellular response to amino acid starvation [GO:0034198]; cellular response to cold [GO:0070417]; cellular response to leucine starvation [GO:1990253]; cellular response to starvation [GO:0009267]; cellular response to UV [GO:0034644]; defense response to virus [GO:0051607]; DNA damage checkpoint signaling [GO:0000077]; eiF2alpha phosphorylation in response to endoplasmic reticulum stress [GO:0036492]; endoplasmic reticulum unfolded protein response [GO:0030968]; GCN2-mediated signaling [GO:0140469]; learning [GO:0007612]; long-term memory [GO:0007616]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of CREB transcription factor activity [GO:0032792]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of translation [GO:0017148]; negative regulation of translational initiation [GO:0045947]; negative regulation of translational initiation in response to stress [GO:0032057]; neuron projection extension [GO:1990138]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of gene expression [GO:0010628]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of translational initiation in response to starvation [GO:0071264]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of feeding behavior [GO:0060259]; regulation of translational initiation [GO:0006446]; regulation of translational initiation by eIF2 alpha phosphorylation [GO:0010998]; regulation of translational initiation in response to stress [GO:0043558]; response to endoplasmic reticulum stress [GO:0034976]; T cell activation involved in immune response [GO:0002286]; viral translation [GO:0019081]	ATP binding [GO:0005524]; eukaryotic initiation factor eIF2 binding [GO:0071074]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tRNA binding [GO:0000049]	GO:0000049; GO:0000077; GO:0001934; GO:0002230; GO:0002250; GO:0002286; GO:0002821; GO:0004674; GO:0004694; GO:0005524; GO:0005829; GO:0005844; GO:0006446; GO:0006468; GO:0007049; GO:0007612; GO:0007616; GO:0009267; GO:0010628; GO:0010998; GO:0017148; GO:0019081; GO:0022626; GO:0030968; GO:0032057; GO:0032792; GO:0034198; GO:0034644; GO:0034976; GO:0036492; GO:0043558; GO:0044828; GO:0045665; GO:0045947; GO:0046777; GO:0051607; GO:0060259; GO:0070417; GO:0071074; GO:0071264; GO:0106310; GO:0140469; GO:1900273; GO:1990138; GO:1990253
Q8BRF7	reviewed	SCFD1_MOUSE	Sec1 family domain-containing protein 1 (Syntaxin-binding protein 1-like 2)	Scfd1 Stxbp1l2	Mus musculus (Mouse)	639	cell morphogenesis [GO:0000902]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; negative regulation of autophagosome assembly [GO:1902902]; post-Golgi vesicle-mediated transport [GO:0006892]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of protein transport [GO:0051223]; response to hypoxia [GO:0001666]; response to toxic substance [GO:0009636]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; toxin transport [GO:1901998]	cis-Golgi network [GO:0005801]; endoplasmic reticulum membrane [GO:0005789]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; plasma membrane [GO:0005886]	cis-Golgi network [GO:0005801]; endoplasmic reticulum membrane [GO:0005789]; Golgi cisterna membrane [GO:0032580]; Golgi membrane [GO:0000139]; Golgi-associated vesicle [GO:0005798]; plasma membrane [GO:0005886]; protein-containing complex binding [GO:0044877]; syntaxin binding [GO:0019905]; cell morphogenesis [GO:0000902]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; negative regulation of autophagosome assembly [GO:1902902]; post-Golgi vesicle-mediated transport [GO:0006892]; regulation of ER to Golgi vesicle-mediated transport [GO:0060628]; regulation of protein transport [GO:0051223]; response to hypoxia [GO:0001666]; response to toxic substance [GO:0009636]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; toxin transport [GO:1901998]	protein-containing complex binding [GO:0044877]; syntaxin binding [GO:0019905]	GO:0000139; GO:0000902; GO:0001666; GO:0005789; GO:0005798; GO:0005801; GO:0005886; GO:0006886; GO:0006888; GO:0006890; GO:0006892; GO:0009636; GO:0019905; GO:0032580; GO:0044877; GO:0051223; GO:0060628; GO:1901998; GO:1902902
O93308	reviewed	SMC1A_XENLA	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1A) (xSMC1)	smc1a smc1 smc1l1	Xenopus laevis (African clawed frog)	1232	cell division [GO:0051301]; DNA repair [GO:0006281]; meiotic cell cycle [GO:0051321]; response to DNA damage checkpoint signaling [GO:0072423]; response to radiation [GO:0009314]; sister chromatid cohesion [GO:0007062]	kinetochore [GO:0000776]; meiotic cohesin complex [GO:0030893]; nucleus [GO:0005634]	kinetochore [GO:0000776]; meiotic cohesin complex [GO:0030893]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; cell division [GO:0051301]; DNA repair [GO:0006281]; meiotic cell cycle [GO:0051321]; response to DNA damage checkpoint signaling [GO:0072423]; response to radiation [GO:0009314]; sister chromatid cohesion [GO:0007062]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]	GO:0000776; GO:0003682; GO:0005524; GO:0005634; GO:0006281; GO:0007062; GO:0009314; GO:0016887; GO:0030893; GO:0051301; GO:0051321; GO:0072423
P80571	reviewed	DEFI_MYTGA	Defensin MGD-1 (Defensin-like peptide) (DLP) (Mytilus galloprovincialis defensin 1) (MGD1)	FH3	Mytilus galloprovincialis (Mediterranean mussel)	60	defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]	extracellular region [GO:0005576]	extracellular region [GO:0005576]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]		GO:0005576; GO:0042742; GO:0045087
Q9UHA3	reviewed	RLP24_HUMAN	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)	RSL24D1 C15orf15 RPL24L My024	Homo sapiens (Human)	163	ribosomal large subunit biogenesis [GO:0042273]; translation [GO:0006412]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; ribosomal large subunit biogenesis [GO:0042273]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005654; GO:0005730; GO:0005840; GO:0006412; GO:0042273
Q8WVL7	reviewed	ANR49_HUMAN	Ankyrin repeat domain-containing protein 49 (Fetal globin-inducing factor)	ANKRD49 FGIF	Homo sapiens (Human)	239	cell differentiation [GO:0030154]; positive regulation of DNA-templated transcription [GO:0045893]; spermatogenesis [GO:0007283]	nucleus [GO:0005634]	nucleus [GO:0005634]; cell differentiation [GO:0030154]; positive regulation of DNA-templated transcription [GO:0045893]; spermatogenesis [GO:0007283]		GO:0005634; GO:0007283; GO:0030154; GO:0045893
Q5M9Q1	reviewed	NKAPL_HUMAN	NKAP-like protein	NKAPL C6orf194	Homo sapiens (Human)	402	cell differentiation [GO:0030154]; regulation of gene expression [GO:0010468]; spermatogenesis [GO:0007283]	nucleus [GO:0005634]	nucleus [GO:0005634]; chromatin binding [GO:0003682]; cell differentiation [GO:0030154]; regulation of gene expression [GO:0010468]; spermatogenesis [GO:0007283]	chromatin binding [GO:0003682]	GO:0003682; GO:0005634; GO:0007283; GO:0010468; GO:0030154
Q8WUX2	reviewed	CHAC2_HUMAN	Glutathione-specific gamma-glutamylcyclotransferase 2 (Gamma-GCG 2) (EC 4.3.2.7) (Cation transport regulator-like protein 2)	CHAC2	Homo sapiens (Human)	184	glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]	gamma-glutamylcyclotransferase activity [GO:0003839]; glutathione specific gamma-glutamylcyclotransferase activity [GO:0061928]	GO:0003839; GO:0005737; GO:0005829; GO:0006750; GO:0006751; GO:0061928
P60868	reviewed	RS20_RAT	Small ribosomal subunit protein uS10 (40S ribosomal protein S20)	Rps20	Rattus norvegicus (Rat)	119	positive regulation of signal transduction by p53 class mediator [GO:1901798]; translation [GO:0006412]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; synapse [GO:0045202]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; synapse [GO:0045202]; MDM2/MDM4 family protein binding [GO:0097371]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; translation [GO:0006412]	MDM2/MDM4 family protein binding [GO:0097371]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]	GO:0003723; GO:0003735; GO:0006412; GO:0022626; GO:0022627; GO:0045202; GO:0097371; GO:1901798; GO:1990948
P54412	reviewed	EF1G_CAEEL	Probable elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	eef-1G F17C11.9	Caenorhabditis elegans	398	translational elongation [GO:0006414]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; translation elongation factor activity [GO:0003746]; translational elongation [GO:0006414]	translation elongation factor activity [GO:0003746]	GO:0003746; GO:0005634; GO:0005737; GO:0006414
P13060	reviewed	EF2_DROME	Eukaryotic translation elongation factor 2 (EC 3.6.5.-) (Elongation factor 2) (EF-2)	eEF2 EF2 Ef2b CG2238	Drosophila melanogaster (Fruit fly)	844	translational elongation [GO:0006414]	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; translational elongation [GO:0006414]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0043022; GO:1990904
P23358	reviewed	RL12_RAT	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	Rpl12	Rattus norvegicus (Rat)	165	positive regulation of translational elongation [GO:0045901]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; nucleolus [GO:0005730]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; synapse [GO:0045202]	cytoplasm [GO:0005737]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; nucleolus [GO:0005730]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; synapse [GO:0045202]; large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]; positive regulation of translational elongation [GO:0045901]; translation [GO:0006412]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005634; GO:0005730; GO:0005737; GO:0006412; GO:0014069; GO:0022625; GO:0022626; GO:0045202; GO:0045901; GO:0070180
P62282	reviewed	RS11_RAT	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	Rps11	Rattus norvegicus (Rat)	158	osteoblast differentiation [GO:0001649]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; synapse [GO:0045202]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; osteoblast differentiation [GO:0001649]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0001649; GO:0003735; GO:0005730; GO:0006412; GO:0016020; GO:0019843; GO:0022626; GO:0022627; GO:0032040; GO:0042274; GO:0045202
